SchoolId,Lat,Lng,SchoolName,Address,Phone,SchoolType,PARENT_MAX,PARENT_CAND,PARENT_STAT,COMMUNITY_MAX,COMMUNITY_CAND,COMMUNITY_STAT,AppointedLSC,SchoolYear
609674,41.737174,-87.573268,CHICAGO VOCATIONAL HS,"2100 E 87TH ST Chicago, IL 60617",1(773)535-6100,HS,6,5,I,2,2,S,False,2020
609676,41.840226,-87.617637,DUNBAR HS,"3000 S KING DR Chicago, IL 60616",1(773)534-9000,HS,6,8,C,2,2,S,False,2020
609678,41.873066,-87.627675,JONES HS,"700 S STATE ST Chicago, IL 60605",1(773)534-8600,HS,6,12,C,2,2,S,False,2020
609679,41.920059,-87.761048,PROSSER HS,"2148 N LONG AVE Chicago, IL 60639",1(773)534-3200,HS,6,4,I,2,4,C,False,2020
609680,41.901575,-87.635385,PAYTON HS,"1034 N WELLS ST Chicago, IL 60610",1(773)534-0034,HS,6,9,C,2,4,C,False,2020
609682,41.802881,-87.662278,RICHARDS HS,"5009 S LAFLIN ST Chicago, IL 60609",1(773)535-4945,HS,6,3,I,2,2,S,False,2020
609691,41.911674,-87.735238,NORTH-GRAND HS,"4338 W WABANSIA AVE Chicago, IL 60639",1(773)534-8520,HS,6,2,I,2,2,S,False,2020
609692,41.745781,-87.63541,SIMEON HS,"8147 S VINCENNES AVE Chicago, IL 60620",1(773)535-3200,HS,6,10,C,2,4,C,False,2020
609693,41.889977,-87.707332,WESTINGHOUSE HS,"3223 W FRANKLIN BLVD Chicago, IL 60624",1(773)534-6400,HS,6,5,I,2,3,C,False,2020
609694,41.791464,-87.72447,HANCOCK HS,"4034 W 56TH ST Chicago, IL 60629",1(773)535-2410,HS,6,4,I,2,2,S,False,2020
609695,41.975067,-87.679484,AMUNDSEN HS,"5110 N DAMEN AVE Chicago, IL 60625",1(773)534-2320,HS,6,8,C,2,4,C,False,2020
609698,41.749376,-87.721097,BOGAN HS,"3939 W 79TH ST Chicago, IL 60652",1(773)535-2180,HS,6,2,I,2,2,S,False,2020
609704,41.84856,-87.708706,FARRAGUT HS,"2345 S CHRISTIANA AVE Chicago, IL 60623",1(773)534-1300,HS,6,5,I,2,3,C,False,2020
609705,41.689951,-87.637572,FENGER HS,"11220 S WALLACE ST Chicago, IL 60628",1(773)535-5430,HS,6,0,I,2,9,C,False,2020
609708,41.939797,-87.754167,FOREMAN HS,"3235 N LECLAIRE AVE Chicago, IL 60641",1(773)534-3400,HS,6,1,I,2,3,C,False,2020
609709,41.791013,-87.688954,GAGE PARK HS,"5630 S ROCKWELL ST Chicago, IL 60629",1(773)535-9230,HS,6,1,I,2,1,I,False,2020
609710,41.718372,-87.620623,HARLAN HS,"9652 S MICHIGAN AVE Chicago, IL 60628",1(773)535-5400,HS,6,5,I,2,3,C,False,2020
609711,41.775124,-87.669089,HARPER HS,"6520 S WOOD ST Chicago, IL 60636",1(773)535-9150,HS,6,1,I,2,1,I,False,2020
609712,41.753748,-87.601727,HIRSCH HS,"7740 S INGLESIDE AVE Chicago, IL 60619",1(773)535-3100,HS,6,3,I,2,2,S,False,2020
609713,41.782257,-87.586615,HYDE PARK HS,"6220 S STONY ISLAND AVE Chicago, IL 60637",1(773)535-0880,HS,6,5,I,2,7,C,False,2020
609715,41.818729,-87.694639,KELLY HS,"4136 S CALIFORNIA AVE Chicago, IL 60632",1(773)535-4900,HS,6,6,S,2,1,I,False,2020
609716,41.927918,-87.735999,KELVYN PARK HS,"4343 W WRIGHTWOOD AVE Chicago, IL 60639",1(773)534-4200,HS,6,1,I,2,1,I,False,2020
609718,41.789961,-87.78084,KENNEDY HS,"6325 W 56TH ST Chicago, IL 60638",1(773)535-2325,HS,6,4,I,2,2,S,False,2020
609719,41.954764,-87.668953,LAKE VIEW HS,"4015 N ASHLAND AVE Chicago, IL 60613",1(773)534-5440,HS,6,5,I,2,2,S,False,2020
609720,41.946645,-87.691013,LANE TECH HS,"2501 W ADDISON ST Chicago, IL 60618",1(773)534-5400,HS,6,8,C,2,2,S,False,2020
609722,41.870939,-87.699896,MANLEY HS,"2935 W POLK ST Chicago, IL 60612",1(773)534-6900,HS,6,0,I,2,0,I,False,2020
609723,41.878444,-87.70805,MARSHALL HS,"3250 W ADAMS ST Chicago, IL 60624",1(773)534-6455,HS,6,4,I,2,2,S,False,2020
609724,41.987589,-87.702496,MATHER HS,"5835 N LINCOLN AVE Chicago, IL 60659",1(773)534-2350,HS,6,6,S,2,3,C,False,2020
609725,41.692035,-87.665658,MORGAN PARK HS,"1744 W PRYOR AVE Chicago, IL 60643",1(773)535-2550,HS,6,8,C,2,2,S,False,2020
609726,41.692763,-87.616353,BROOKS HS,"250 E 111TH ST Chicago, IL 60628",1(773)535-9930,HS,6,5,I,2,2,S,False,2020
609727,41.82388,-87.619796,PHILLIPS HS,"244 E PERSHING RD Chicago, IL 60653",1(773)535-1603,HS,6,10,C,2,5,C,False,2020
609728,41.964828,-87.714819,ROOSEVELT HS,"3436 W WILSON AVE Chicago, IL 60625",1(773)534-5000,HS,6,5,I,2,5,C,False,2020
609729,41.946365,-87.735612,SCHURZ HS,"3601 N MILWAUKEE AVE Chicago, IL 60641",1(773)534-3420,HS,6,6,S,2,3,C,False,2020
609730,41.989029,-87.667136,SENN HS,"5900 N GLENWOOD AVE Chicago, IL 60660",1(773)534-2365,HS,6,7,C,2,7,C,False,2020
609732,41.935634,-87.783515,STEINMETZ HS,"3030 N MOBILE AVE Chicago, IL 60634",1(773)534-3030,HS,6,3,I,2,3,C,False,2020
609733,42.002688,-87.669192,SULLIVAN HS,"6631 N BOSWORTH AVE Chicago, IL 60626",1(773)534-2000,HS,6,2,I,2,2,S,False,2020
609734,41.982961,-87.791547,TAFT HS,"6530 W BRYN MAWR AVE Chicago, IL 60631",1(773)534-1000,HS,6,7,C,2,2,S,False,2020
609735,41.80751,-87.642966,TILDEN HS,"4747 S UNION AVE Chicago, IL 60609",1(773)535-1625,HS,6,0,I,2,3,C,False,2020
609737,41.973185,-87.713386,VON STEUBEN HS,"5039 N KIMBALL AVE Chicago, IL 60625",1(773)534-5100,HS,6,5,I,2,2,S,False,2020
609738,41.918268,-87.646009,LINCOLN PARK HS,"2001 N ORCHARD ST Chicago, IL 60614",1(773)534-8130,HS,6,11,C,2,5,C,False,2020
609739,41.688137,-87.53757,WASHINGTON HS,"3535 E 114TH ST Chicago, IL 60617",1(773)535-5725,HS,6,4,I,2,3,C,False,2020
609740,41.898995,-87.667483,WELLS HS,"936 N ASHLAND AVE Chicago, IL 60622",1(773)534-7010,HS,6,2,I,2,4,C,False,2020
609741,41.780526,-87.718014,HUBBARD HS,"6200 S HAMLIN AVE Chicago, IL 60629",1(773)535-2200,HS,6,7,C,2,2,S,False,2020
609744,41.982973,-87.722386,NORTHSIDE LEARNING HS,"3730 W BRYN MAWR AVE Chicago, IL 60659",1(773)534-5180,HS,6,5,I,2,3,C,False,2020
609745,41.759852,-87.675947,SOUTHSIDE HS,"7342 S HOYNE AVE Chicago, IL 60636",1(773)535-9100,HS,6,6,S,2,3,C,False,2020
609746,41.803772,-87.590421,KENWOOD HS,"5015 S BLACKSTONE AVE Chicago, IL 60615",1(773)535-1350,HS,6,9,C,2,3,C,False,2020
